SP500,Nasdaq,WilshireRE,Gold,OilWTI,Date
1182.054281,"2,009.92",155.3638095,422.447619,50.58857143,01/05/2005
1207.28727,"2,084.77",163.0195455,432.5590909,57.22227273,01/06/2005
1225.985004,"2,151.27",171.303,424.08,59.8655,01/07/2005
1229.909132,"2,167.88",168.0678261,438.8043478,65.89086957,01/08/2005
1230.619518,"2,153.80",168.7261905,457.6619048,66.63952381,01/09/2005
1199.709054,"2,101.31",161.2114286,471.5285714,63.14190476,01/10/2005
1241.147618,"2,209.91",167.3271429,453.5380952,56.30952381,01/11/2005
1267.338565,"2,256.31",172.77,513.6,60.15,01/12/2005
1282.920996,"2,297.83",179.6865,550.465,66.1985,01/01/2006
1281.536313,"2,284.39",183.6868421,559.2736842,63.08789474,01/02/2006
1298.765216,"2,311.49",192.8186957,558.4782609,63.62043478,01/03/2006
1307.99211,"2,351.28",188.0157895,616.1842105,70.77736842,01/04/2006
1297.076827,"2,260.66",184.275,674.15,71.92863636,01/05/2006
1261.035007,"2,155.56",186.78,601.7863636,71.70863636,01/06/2006
1266.769507,"2,103.67",195.338,634.445,71.6255,01/07/2006
1292.115664,"2,129.40",199.4278261,634.7130435,73.9473913,01/08/2006
1321.409509,"2,230.84",206.9915,597.855,64.9915,01/09/2006
1366.08045,$,215.1459091,587.4727273,60.29454545,01/10/2006
1393.170951,"2,418.76",218.9957143,626.8666667,57.30142857,01/11/2006
1420.820007,"2,444.74",225.163,631.065,62.8485,01/12/2006
1428.822485,"2,465.04",231.4185,630.765,55.547,01/01/2007
1450.913144,"2,491.34",246.3484211,669.8210526,60.22,01/02/2007
1413.943637,"2,414.31",230.2172727,654.7045455,61.73318182,01/03/2007
1466.809485,"2,506.40",232.219,682.22,64.873,01/04/2007
1516.290916,"2,572.42",223.5854545,667.9454545,64.30409091,01/05/2007
1523.661894,"2,608.58",214.8661905,657.4380952,68.10238095,01/06/2007
1530.839036,"2,669.58",205.2157143,666.1142857,,01/07/2007
1467.407396,"2,560.86",194.7521739,667.5608696,73.29913043,01/08/2007
1504.312635,"2,646.38",201.9468421,715.7,80.27263158,9/21/2007
1546.175235,"2,793.69",210.5421739,758.2347826,86.5573913,01/10/2007
1477.735712,"2,691.50",188.822381,809.5428571,96.37904762,01/11/2007
1488.952008,"2,680.71",182.526,811.68,93.0865,01/12/2007
