SP500,Nasdaq,WilshireRE,Gold,OilWTI,Date
1258.094206105263,2380.772114052631,87.69157894736843,287.55263157894734,12.750526315789477,1999-01-01
1258.328433368421,2391.417351894737,85.1384210526316,289.69473684210527,12.258421052631581,1999-02-01
1289.9308710869564,2413.03172773913,83.49826086956521,286.0347826086957,14.890434782608697,1999-03-01
1343.8276192857143,2571.1285924285717,87.19714285714285,283.2619047619048,17.502857142857142,1999-04-01
1342.9494934000002,2539.8825195999993,93.14150000000002,277.13,18.032000000000004,1999-05-01
1329.4713746363636,2543.7141000909087,91.62454545454547,263.0545454545454,18.133636363636366,1999-06-01
1390.0861989999996,2763.56096547619,88.08571428571429,256.4380952380953,20.307619047619045,1999-07-01
1337.5727261363634,2669.0108974545456,84.5190909090909,258.34999999999997,21.45863636363636,1999-08-01
1328.2009684761908,2832.9257230476196,82.23476190476192,266.2,24.036190476190477,1999-09-01
1309.339529904762,2835.653320285715,78.15,311.6190476190476,23.124285714285712,1999-10-01
1399.5023773809528,3254.931442904762,77.96333333333334,279.93809523809523,23.938095238095237,1999-11-01
1435.969099590909,3764.8163618636363,75.81409090909091,272.3863636363636,25.226363636363637,1999-12-01
1441.5544983,4081.6429809499996,79.7525,270.99000000000007,26.062500000000007,2000-01-01
1401.42650145,4448.16651615,77.61,303.38,29.629,2000-02-01
1455.7195620434782,4894.349120999999,77.44652173913043,286.0652173913044,30.490434782608695,2000-03-01
1479.0542055789474,3986.9037058421054,82.2363157894737,281.1842105263158,25.93421052631579,2000-04-01
1433.1213767272725,3601.7018044090905,86.02863636363638,275.0636363636363,29.213181818181827,2000-05-01
1471.881375409091,3910.8313654090907,88.06090909090909,287.04090909090917,31.944090909090907,2000-06-01
1484.3020018999998,4067.8145265000007,91.88999999999999,266.735,28.713,2000-07-01
1491.999554217391,3943.9269700434784,93.63043478260872,274.9304347826087,31.5991304347826,2000-08-01
1479.5740051999999,3941.2595214500006,92.86449999999998,273.535,34.547000000000004,2000-09-01
1405.2109042272725,3416.571377818182,88.93409090909091,270.3,33.554545454545455,2000-10-01
1389.5033308571428,3126.1295109047614,88.9852380952381,253.37142857142862,32.978571428571435,2000-11-01
1345.46800545,2728.1555054499995,94.06300000000002,272.05,29.228,2000-12-01
1345.7138149523812,2705.369047666667,95.52238095238096,265.4428571428572,29.684285714285714,2001-01-01
1318.7431511578945,2504.6431692105266,94.28684210526315,262.36842105263156,30.146315789473682,2001-02-01
1200.0695579545456,2030.3986483636365,93.72772727272726,262.27272727272725,27.739545454545453,2001-03-01
1201.6929992500002,1970.4329895499995,92.67849999999999,261.965,28.025,2001-04-01
1278.0804721818179,2207.6395373636365,96.08727272727273,272.6272727272728,29.052727272727278,2001-05-01
1247.6547501904759,2139.0080914285713,99.82714285714285,258.8619047619048,28.030476190476197,2001-06-01
1213.392862952381,2061.1099970000005,100.2209523809524,267.60952380952375,26.871904761904766,2001-07-01
1188.0856562608697,1954.1586913478259,103.01826086956524,273.21304347826083,27.652608695652173,2001-08-01
1060.6826659333335,1605.7406494000002,95.45466666666667,284.87333333333333,26.42866666666666,2001-09-01
1084.312170869565,1676.193470826087,93.26869565217393,283.9608695652174,22.69347826086957,2001-10-01
1135.1495245238093,1886.2709495714284,95.00285714285714,263.15238095238095,19.336190476190477,2001-11-01
1151.90549935,1997.6909973000002,98.30650000000001,262.86,18.9215,2001-12-01
1148.500959285714,1998.5590530476188,98.98571428571428,281.3666666666667,20.191428571428574,2002-01-01
1110.2447382105263,1826.6557808947373,99.63999999999999,297.8052631578947,21.076842105263164,2002-02-01
1160.42648915,1877.2099976499999,105.394,279.56000000000006,24.729000000000003,2002-03-01
1120.8981822727271,1780.2227339090912,107.72272727272728,304.5181818181818,26.778181818181817,2002-04-01
1087.789545318182,1682.6995351363637,106.13727272727277,314.73181818181814,27.365454545454554,2002-05-01
1025.202002,1528.4335144000001,107.50949999999997,323.18500000000006,25.879999999999995,2002-06-01
918.5740967727273,1372.184087590909,99.65818181818177,299.27272727272725,26.043636363636356,2002-07-01
923.5509143636361,1346.013189227273,98.96272727272729,311.79090909090905,28.495000000000005,2002-08-01
880.1035065,1269.4024963,99.02399999999999,319.76499999999993,30.091,2002-09-01
865.1969632173913,1256.5865107391305,90.9395652173913,317.05652173913046,29.286956521739125,2002-10-01
918.02100215,1422.4854919499999,93.60799999999999,287.0799999999999,25.291999999999994,2002-11-01
907.9952362857144,1404.9804686666666,95.1495238095238,336.4809523809523,29.791904761904757,2002-12-01
904.6423834761904,1405.2847551428572,93.41428571428574,357.76190476190476,33.163809523809526,2003-01-01
845.6678916315789,1325.1999896842105,92.00842105263159,362.4526315789474,36.23368421052631,2003-02-01
854.1423805238096,1358.7561906190476,94.04380952380954,340.8523809523809,34.191428571428574,2003-03-01
896.9719122380951,1421.7828484761903,98.35571428571427,330.57142857142856,28.74333333333333,2003-04-01
941.2600011428573,1533.7947590476192,102.83714285714288,356.02857142857147,28.461904761904766,2003-05-01
995.2552402857142,1648.4933327142855,105.31761904761903,359.2238095238095,30.878571428571426,2003-06-01
999.2890902727274,1729.4668246818183,108.26272727272728,351.46818181818185,31.030909090909095,2003-07-01
993.9590454761906,1734.4776146666668,110.11714285714288,361.9571428571429,32.056190476190466,2003-08-01
1025.1638154761906,1869.887619761905,113.45142857142855,379.65238095238095,28.777619047619048,2003-09-01
1043.047389782609,1917.6739130869562,117.30826086956522,380.28695652173917,30.74913043478261,2003-10-01
1054.5741994210525,1952.8258056842108,118.48947368421051,349.46315789473687,29.79421052631579,2003-11-01
